id;exhibi_almacen;costo;fecha
1;Negro Hogar;Música;Ejecutivo Administrador Bricolaje
2;modular Cine;Pequeño;Amigable Calidad
3;estable Bedfordshire Bebes;Albania Lado Gris;Blanco Cataluña
4;CSS;auxiliary Ergonómico SMS;Silla Papelería enterprise
5;Dinánmico;SDR extranet Colegio;calculate parse
6;virtual jerarquía Seguridada;Reducido hacking online;Mobilidad Amarillo
7;calculate;quantifying Heredado;payment CSS
8;Ladrillo;Pescado;Tanzania
9;Joyería;incubate Violeta Madera;Trinidad
10;payment PNG killer;solutions Ingeniero;Oficial
