id;nom_exi;fech_ini;fech_fin
1;card;input Silla deposit;markets
2;Ladrillo;Plástico proactive XML;Sopa reboot
3;overriding wireless hacking;solutions 1080p;eyeballs Madrid Atún
4;SDD 1080p;feed Morado Terrenos;Sabroso Zapatos Bebes
5;Asturias;synthesizing Irak;Programa Partida paradigms
6;Personal;payment payment Personal;Aldea
7;Sorprendente 24/365;Bacon;virtual Orígenes eyeballs
8;modelo;Funcionalidad Aldea Buckinghamshire;Blanco
9;port;bus Amarillo compress;bus Violeta
10;estandardización capacitor;Zapatos proactive Diseñador;acompasada multi-byte deposit
