id;id_obj_art;pais_cultura;anio;titulo_obj;desc_obj;epoca_obj
1;lalalalala;SQL Gris copying;Cambridgeshire Dinar hacking;Cambridgeshire monitor Bicicleta;grow Boliviano;markets
2;soporte Rioja;Blanco;compress;Identidad Amarillo Increible;Teclado;Verde Camino
3;Cine hibrida;Identidad;Guapo GB Bricolaje;withdrawal;orquestar Ladrillo Home;Plástico de
4;Orientado Increible;networks Blanco;Distrito;RAM;microchip;compressing
5;Money;revolutionary Extrarradio;transmitting Verde SDD;mesh microchip;Marca e-commerce Soluciones;evolve
6;Dinánmico program Bedfordshire;Guapo Futuro Reducido;Buckinghamshire;Madera Silla Regional;Senda Acero Apartamento;La Analista architectures
7;Raton Loan Tonga;Madera Jefe integrate;cultivate;Fácil Aragón;Ejecutivo Sopa Sorprendente;Avon Malasia
8;Increible indexing;Ordenador alarm;SSL copy;Soluciones bypassing Representante;Apartamento;Visionario Zapatos e-commerce
9;Hungria;Croatian fritas;ubiquitous;Vía;Pantalones;Implementación
10;matrix virtual;Loan de;copy Apartamento;de Técnico;1080p Distrito;a Interno
